grammar,usage,meaning,examples
〜反面,V / Adj / Nである + 反面[はんめん],On the other hand,"この薬[くすり]はよく効く[きく]反面、副作用[ふくさよう]も強い[つよい]。 / This medicine is very effective, but on the other hand the side effects are strong. / 都会[とかい]の生活[せいかつ]は便利[べんり]な反面、ストレスも多い[おおい]。 / City life is convenient, but on the other hand there is a lot of stress."
〜べきだ / 〜べきではない,V-る + べきだ / べきではない,Should / should not,"約束[やくそく]は守る[まもる]べきだ。 / You should keep your promises. / 嘘[うそ]をつくべきではない。 / You should not tell lies."
〜ほどだ / 〜ほど,V / Adj / N + ほど（だ）,To the extent that; so much that,"死ぬ[しぬ]ほど疲れ[つかれ]た。 / I am tired to the extent of dying. / 涙[なみだ]が出る[でる]ほど嬉しかっ[うれしかっ]た。 / I was so happy that tears came out."
〜まい / 〜まいか,V-る + まい,Will not; intend not to (formal),"二度[にど]とあんな店[みせ]には行く[いく]まい。 / I intend never to go to such a store again. / 誰[だれ]にも言及[げんきゅう]するまいと心[こころ]に決め[きめ]た。 / I decided in my heart that I will not mention it to anyone."
〜向き,N + 向き[むき],Suited for,"このデザインは若者[わかもの]向きです。 / This design is suited for young people. / 初心者[しょしんしゃ]向きのコースがあります。 / There is a course suited for beginners."
〜向け,N + 向け[むけ],Intended for; made for,"これは子供[こども]向けに書か[かか]れた本[ほん]です。 / This is a book written intended for children. / 海外[かいがい]向けの商品[しょうひん]を開発[かいはつ]する。 / We will develop products made for overseas."
〜も〜ば〜も,N + も + V-ば + N + も,And also; both A and B,"彼[かれ]は歌[うた]も上手けれ[うまけれ]ば、ダンスも得意[とくい]だ。 / He is good at singing, and also excels at dancing. / このレストランは、安く[やすく]もあれば、美味しく[おいしく]もある。 / This restaurant is both cheap and also delicious."
〜ものだから / 〜もので,V / Adj / Nな + ものだから,Because (used to make an excuse),"電車[でんしゃ]が遅れ[おくれ]たものだから、遅刻[ちこく]してしまいました。 / Because the train was delayed, I ended up being late. / 初めて[はじめて]なもので、よくわかりません。 / Because it is my first time, I don't really understand."
〜ものだ / 〜ものではない,V / Adj / N + ものだ / ものではない,It is natural to; used to (past habit),"子供[こども]は外[そと]で遊ぶ[あそぶ]ものだ。 / It is natural for children to play outside. / 学生[がくせい]時代[じだい]、よくこの店[みせ]に来た[きた]ものだ。 / During my student days, I used to come to this shop often."
〜ものなら,V-可能形 + ものなら,If one could (but it's difficult),"やり直せる[やりなおせる]ものなら、やり直し[やりなおし]たい。 / If I could do it over, I would want to do it over. / 帰れる[かえれる]ものなら、今すぐ[いますぐ]国[くに]に帰り[かえり]たい。 / If I could return, I would want to return to my country right now."
〜ものの,V / Adj / Nである + ものの,But; although,"大学[だいがく]を卒業[そつぎょう]したものの、就職[しゅうしょく]先[さき]が決まら[きまら]ない。 / Although I graduated from university, my employment hasn't been decided. / 買っ[かっ]たものの、一度[いちど]も使っ[つかっ]ていない。 / I bought it, but I haven't used it even once."
〜わけがない,V / Adj / Nの + わけがない,There is no way; impossible,"あの人[ひと]が犯人[はんにん]なわけがない。 / There is no way that person is the culprit. / こんな難しい[むずかしい]問題[もんだい]、私[わたし]にわかるわけがない。 / There is no way I can understand such a difficult problem."
〜わけだ,V / Adj / Nな + わけだ,For that reason; no wonder,"毎日[まいにち]ケーキを食べて[たべて]いるから、太る[ふとる]わけだ。 / Since you eat cake every day, no wonder you are getting fat. / つまり、あなたが行か[いか]ないというわけですね。 / In other words, the reason is that you are not going, right?"
〜わけではない / 〜わけでもない,V / Adj / Nな + わけではない,It does not mean that; not necessarily,"お金[かね]があれば幸せ[しあわせ]なわけではない。 / Having money does not necessarily mean you are happy. / 嫌い[きらい]なわけではありませんが、あまり食べ[たべ]ません。 / It doesn't mean I hate it, but I don't eat it much."
〜わけにはいかない,V-る / V-ない + わけにはいかない,Cannot afford to; must not (for moral/social reasons),"明日[あした]は大事[だいじ]なテストがあるので、休む[やすむ]わけにはいかない。 / Because there is an important test tomorrow, I cannot afford to take a day off. / 真実[しんじつ]を知っ[しっ]ている以上、黙っ[だまっ]ているわけにはいかない。 / As long as I know the truth, I cannot afford to stay silent."
〜をきっかけに,N + をきっかけに,With... as a start; triggered by,"入院[にゅういん]をきっかけに、タバコをやめた。 / Triggered by my hospitalization, I quit smoking. / 日本[にほん]のアニメをきっかけに、日本語[にほんご]の勉強[べんきょう]を始め[はじめ]た。 / With Japanese anime as a start, I began studying Japanese."
〜をこめて,N + をこめて,Filled with (emotion/effort),"感謝[かんしゃ]の気持ち[きもち]をこめて、プレゼントを選び[えらび]ました。 / I chose the present filled with feelings of gratitude. / 愛[あい]をこめて、この手紙[てがみ]を書き[かき]ました。 / I wrote this letter filled with love."
〜を中心に,N + を中心[ちゅうしん]に,Centered around; focusing on,"東京[とうきょう]を中心に、地震[じしん]の被害[ひがい]が広がっ[ひろがっ]た。 / Centered around Tokyo, the earthquake damage spread. / 文法[ぶんぽう]を中心に、日本語[にほんご]を勉強[べんきょう]している。 / I am studying Japanese focusing on grammar."
〜を通じて / 〜を通して,N + を通じて[つうじて] / を通して[とおして],Through; via,"友人[ゆうじん]を通じて、彼[かれ]と知り合い[しりあい]ました。 / I got to know him through a friend. / 一年[いちねん]を通して、この町[まち]は暖かい[あたたかい]。 / Throughout the year, this town is warm."
〜を問わず,N + を問わず[とわず],Regardless of,"年齢[ねんれい]や性別[せいべつ]を問わず、誰[だれ]でも参加[さんか]できます。 / Regardless of age or gender, anyone can participate. / 昼夜[ちゅうや]を問わず、工事[こうじ]が行わ[おこなわ]れている。 / Construction is being done regardless of day or night."
〜をめぐって,N + をめぐって,Concerning; surrounding (a dispute or discussion),"遺産[いさん]をめぐって、兄弟[きょうだい]で争っ[あらそっ]ている。 / The brothers are fighting concerning the inheritance. / 環境[かんきょう]問題[もんだい]をめぐって、激しい[はげしい]議論[ぎろん]が交わさ[かわさ]れた。 / Fierce discussions were exchanged surrounding environmental issues."
〜をもとに,N + をもとにして,Based on (as a source/material),"この映画[えいが]は実話[じつわ]をもとにして作ら[つくら]れました。 / This movie was made based on a true story. / アンケートの結果[けっか]をもとに、新商品[しんしょうひん]を開発[かいはつ]する。 / We will develop a new product based on the survey results."
